sentiment,emotion,urgency,topic,risk_indicator,customer_id
Positive,Satisfaction,0.7,Service Information,False,0
Neutral,Confusion,0.7,Service Information,False,1
Negative,Frustration,0.7,Complaint,True,2
Neutral,Neutral,0.5,Billing,False,3
Neutral,Confusion,0.5,Service Information,False,4
Neutral,Confusion,0.6,Technical Support,False,5
Neutral,Confusion,0.7,Technical Support,False,6
Positive,Gratitude,0.0,Service Information,False,7
Negative,Neutral,0.7,Complaint,True,8
Neutral,Neutral,0.5,Billing,False,9
Negative,Confusion,0.3,Service Information,False,10
Positive,Satisfaction,0.3,Service Information,False,11
Neutral,Confusion,0.7,Service Information,False,12
Neutral,Confusion,0.6,Technical Support,False,13
Neutral,Confusion,0.6,Technical Support,False,14
Negative,Frustration,0.9,Complaint,True,15
Neutral,Confusion,0.6,Service Information,False,16
Positive,Neutral,0.2,Service Information,False,17
Negative,Frustration,0.8,Complaint,True,18
Neutral,Confusion,0.6,Service Information,False,19
Positive,Gratitude,0.3,Service Information,False,20
Positive,Neutral,0.3,Service Information,False,21
Positive,Satisfaction,0.3,Service Information,False,22
Neutral,Confusion,0.7,Service Information,False,23
Neutral,Confusion,0.6,Technical Support,False,24
Neutral,Confusion,0.5,Service Information,False,25
Negative,Frustration,0.6,Service Information,False,26
Negative,Frustration,1.0,Complaint,True,27
Neutral,Confusion,0.6,Technical Support,False,28
Neutral,Neutral,0.5,Complaint,False,29
Negative,Frustration,0.8,Complaint,True,30
Negative,Anger,0.9,Complaint,True,31
Negative,Frustration,0.9,Service Information,False,32
Positive,Gratitude,0.3,Service Information,False,33
Neutral,Neutral,0.3,Technical Support,False,34
Negative,Frustration,0.8,Complaint,True,35
Positive,Gratitude,0.3,Service Information,False,36
Neutral,Confusion,0.7,Technical Support,False,37
Neutral,Confusion,0.5,Service Information,False,38
Neutral,Confusion,0.7,Billing,True,39
Positive,Satisfaction,0.3,Service Information,False,40
Neutral,Confusion,0.5,Service Information,False,41
Neutral,Confusion,0.5,Service Information,False,42
Neutral,Confusion,0.6,Service Information,False,43
Neutral,Satisfaction,0.2,Service Information,False,44
Positive,Neutral,0.7,Service Information,False,45
Positive,Gratitude,0.8,Service Information,False,46
Positive,Satisfaction,0.5,Service Information,False,47
Neutral,Confusion,0.7,Service Information,False,48
Neutral,Confusion,0.6,Technical Support,False,49
Neutral,Neutral,0.5,Service Information,False,50
Neutral,Confusion,0.6,Technical Support,False,51
Negative,Frustration,0.8,Billing,True,52
Neutral,Confusion,0.6,Service Information,False,53
Negative,Frustration,0.8,Complaint,True,54
Neutral,Frustration,0.8,Service Information,False,55
Neutral,Confusion,0.6,Technical Support,False,56
Negative,Frustration,0.9,Technical Support,False,57
Neutral,Confusion,0.7,Technical Support,False,58
Neutral,Confusion,0.6,Technical Support,False,59
Positive,Satisfaction,0.5,Service Information,False,60
Neutral,Confusion,0.6,Technical Support,False,61
Negative,Frustration,0.8,Complaint,True,62
Positive,Satisfaction,0.4,Service Information,False,63
Negative,Frustration,0.7,Complaint,True,64
Neutral,Confusion,0.6,Technical Support,False,65
Positive,Satisfaction,0.5,Service Information,False,66
